Ring Size,Divide,Group,OptAvgTime,OptTeamSize,OptTime
100,69733,80036,130120,26222,79622
200,161878,179315,244248,50125,182225
300,272882,270038,435318,72125,322394
400,359010,358145,662716,94175,518468
500,463860,425109,943643,117428,812013
600,603697,513285,1244965,138965,1089328
700,716237,633589,1607752,160915,1430731
800,813135,891865,2611803,186155,2082595
900,898619,893986,2966938,218733,2809937
1000,1027759,1193667,3537605,234714,3271800
1100,1249673,1645417,4482110,268395,4185710
1200,1331062,1761071,4778589,276328,4427111
1300,1389194,1511148,5606661,297776,5446460
1400,1488537,1706655,6312080,317652,6529607
1500,1599674,1863505,7438056,339419,6569304
1600,1702730,2072420,8616378,361333,8028839
1700,1824412,2311556,9154857,381843,8389408
1800,1920271,2614658,10250890,401518,10316840
1900,2017414,3069765,10295264,421854,10881421
2000,2126036,3249663,12817317,448896,12226254
2100,2474841,4147673,13535791,468237,12441273
2200,2579256,3718518,14414221,485140,14421976
2300,2707008,4083291,15988326,513416,14901346
2400,2803388,4286481,16420045,527859,16573532
2500,2930517,6281155,17834899,548113,17217052
2600,3036442,5336094,19747191,568757,19604552
2700,3135795,6360314,20500395,592690,19426103
2800,3300001,6886772,22246880,614789,21579399
2900,3436744,7818890,23333970,630852,23384473
3000,3497576,7268270,25067229,650421,24495643
3100,3624133,7461359,27343323,676587,25556403
3200,3761380,9155132,29506911,697048,26950666
3300,3859145,10616026,30542690,727418,28481433
3400,3982434,10099794,32514742,739327,30082434
3500,4068783,11065046,34025866,761607,34259199
3600,4213166,11354287,36184279,784717,34026507
3700,4304331,11230696,37755746,806769,35135934
3800,4423914,11979611,40913652,823652,37425451
3900,4568996,12280045,40756660,838123,40054491
4000,4680263,12483145,42311174,864932,42696189
4100,5244365,13444949,45291064,892130,45540960
4200,5335428,15323152,49126064,917268,47438539
4300,5484873,13646258,50771581,929271,47140478
4400,5649774,15697351,52835375,950018,49821367
4500,5709883,15987696,55393295,976817,53915354
4600,5946324,15344273,56676825,993579,54061020
4700,6055669,17685060,60636955,1017337,57083077
4800,6124397,17020810,61285047,1032542,59261741
4900,6306642,19367309,66162232,1063600,61061162
5000,6382274,18816471,68317699,1071373,63682837
5100,6603217,20362660,70033772,1090991,66927460
5200,6665744,21757776,71855523,1123585,70237498
5300,6904758,20293872,73798582,1154077,73001903
5400,6924708,22814759,77092732,1164184,74419496
5500,7051980,23437441,80515731,1175149,76179612
5600,7122348,24010081,83189645,1207435,80051933
5700,7563595,31599967,117162397,1392254,103702423
5800,7997824,24953091,88986777,1334032,102364388
5900,7849259,25429066,91397060,1323545,91012497
6000,7858545,26743277,95641002,1326204,92530960
6100,7808138,27615099,99290146,1320611,95514280
6200,7984973,28298544,101618222,1345324,97251546
6300,8194394,28648836,104284450,1359833,100965103
6400,8435704,30176515,107451517,1398646,108028938
6500,8342396,30317161,111486759,1415448,107866947
6600,8490444,29869856,113916583,1431787,109149213
6700,8627022,32963311,119318010,1449986,114949150
6800,8691857,35363554,120386489,1467191,116888732
6900,8822231,35513276,122731874,1471577,119433665
7000,8874137,34630434,129765285,1495788,124147490
7100,9158281,39039915,144974854,1516994,126700166
7200,9342636,37713492,133030328,1561512,131222382
7300,9763249,38068832,140462880,1587710,136181255
7400,9557036,39300028,141537536,1583083,138646748
7500,9576804,39104277,144151607,1605470,141728998
7600,9838669,40607515,148086045,1635224,146795799
7700,10044302,42267452,153334978,1657135,149416494
7800,10048272,41133936,157476444,1671090,153847900
7900,10263665,42434509,160767955,1688799,157745137
8000,10338452,46029157,165098988,1707392,160907924
8100,10418662,43957784,170581059,1723122,163838163
8200,11314049,47408022,174528384,1767730,168753557
8300,11615874,47629449,177839825,1774722,174289126
8400,11836335,48548361,185486350,1819107,176956121
8500,11958725,50580300,187437689,1858222,181653181
8600,11886812,51008368,188667077,1879805,184521224
8700,12279781,53874044,193482607,1852132,191455180
8800,12195483,52908617,201414237,1875512,194270494
8900,12393832,53607408,203357686,1903014,197736992
9000,12539327,55618361,207398724,1915598,203834131
9100,12503952,58875627,211218276,1927160,206890381
9200,12595411,60419834,218607955,1963212,213466428
9300,12906885,57032849,225208961,1981140,218417218
9400,13571603,59474645,224015439,1996103,224186455
9500,13099693,60899572,232313312,2018043,226467719
9600,13333226,61746453,237236101,2037546,231227198
9700,13389211,64109879,238965772,2062324,236336920
9800,13499420,67130282,244117438,2095625,238964245
9900,13625150,66189381,250239643,2119698,244365281
10000,13795876,69458702,252504455,2127240,249109659
